mode,search_strategy,ub_mode,instance_name,instance_type,n,instance_id,seed,initial_ub_cost,initial_ub_time_ms,best_cost,opt_cost,relative_error_percent,time_ms,total_time_ms,rss_kb,frontier_peak,max_depth,nodes_generated,nodes_expanded,nodes_pruned,solved,hit_time_limit,hit_memory_limit
compare_ub,bfs,none,generated_atsp_6_id1,ATSP,6,1,18346,-1,-1,1938,1938,0,0.044434,0.044434,3936,120,6,212,92,114,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id1,ATSP,6,1,18346,1996,0.003647,1938,1938,0,0.01629,0.019937,3936,3,6,32,10,21,1,0,0
compare_ub,dfs,none,generated_atsp_6_id1,ATSP,6,1,18346,-1,-1,1938,1938,0,0.025919,0.025919,3936,11,6,51,21,24,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id1,ATSP,6,1,18346,1996,0.004348,1938,1938,0,0.047359,0.051707,3936,3,6,32,10,21,1,0,0
compare_ub,lc,none,generated_atsp_6_id1,ATSP,6,1,18346,-1,-1,1938,1938,0,0.026109,0.026109,3940,22,6,32,10,21,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id1,ATSP,6,1,18346,1996,0.003517,1938,1938,0,0.022102,0.025619,3940,3,6,32,10,21,1,0,0
compare_ub,bfs,none,generated_atsp_6_id2,ATSP,6,2,18347,-1,-1,1619,1619,0,0.046488,0.046488,3940,120,6,212,92,114,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id2,ATSP,6,2,18347,1619,0.004138,1619,1619,0,0.020529,0.024667,3940,1,5,15,4,11,1,0,0
compare_ub,dfs,none,generated_atsp_6_id2,ATSP,6,2,18347,-1,-1,1619,1619,0,0.025708,0.025708,3940,11,6,49,20,23,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id2,ATSP,6,2,18347,1619,0.002795,1619,1619,0,0.019707,0.022502,3940,1,5,15,4,11,1,0,0
compare_ub,lc,none,generated_atsp_6_id2,ATSP,6,2,18347,-1,-1,1619,1619,0,0.021511,0.021511,3940,11,6,16,5,10,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id2,ATSP,6,2,18347,1619,0.002505,1619,1619,0,0.019377,0.021882,3940,1,5,15,4,11,1,0,0
compare_ub,bfs,none,generated_atsp_6_id3,ATSP,6,3,18348,-1,-1,2034,2034,0,0.045075,0.045075,3940,120,6,209,89,117,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id3,ATSP,6,3,18348,2034,0.003847,2034,2034,0,0.020709,0.024556,3940,3,5,23,6,17,1,0,0
compare_ub,dfs,none,generated_atsp_6_id3,ATSP,6,3,18348,-1,-1,2034,2034,0,0.022353,0.022353,3940,11,6,35,13,19,1,0,0
